sentence,log-prob-pcfg_mean,rating_gram_mean,rating_frequency_mean,rating_conversational_mean,dep_length_mean,avg_word_freq_zipf,avg_word_length
There is no subterfuge in you.,-8.7785928571429,6.3333333333333,2.5,3.0769230769231,1.5714285714285714,6.111666666666667,4.0
There is nothing new in this.,-8.7194085714286,6.6,5.0555555555556,4.9333333333333,1.7142857142857142,6.545000000000001,3.8333333333333335
There is salad in that bowl.,-10.2879228571429,6.8823529411765,6.1764705882353,5.5,1.5714285714285714,6.073333333333334,3.6666666666666665
There was a contorted ugliness now.,-10.6462685714286,6.0666666666667,2.5714285714286,2.6428571428571,2.2857142857142856,5.366666666666667,4.833333333333333
There was no mistaking that scream.,-11.3090028571429,6.8333333333333,5.1176470588235,5.3333333333333,1.7142857142857142,5.606666666666666,4.833333333333333
"There was no moon, only starlight.",-10.91836375,6.7058823529412,5.2307692307692,2.8666666666667,1.875,5.573333333333333,4.5
There was no one but me.,-8.9908714285714,6.75,6.0625,6.2307692307692,1.5714285714285714,6.510000000000001,3.0
There was nothing but political commentary.,-10.3410842857143,7.0,5.2857142857143,4.7857142857143,1.5714285714285714,5.798333333333333,6.166666666666667
There was shouting and loud noises.,-11.2707428571429,6.7333333333333,5.2142857142857,5.0,1.7142857142857142,5.465,4.833333333333333
There were probably five of them.,-8.0790542857143,6.8823529411765,5.6923076923077,5.4666666666667,1.5714285714285714,6.176666666666666,4.5
"There'll be towels, soap, and all.",-8.9269129,5.6470588235294,4.5294117647059,5.125,2.0,5.645714285714285,3.7142857142857144
There's always risk -- life's a risk.,-9.753181,6.1333333333333,5.2,5.0714285714286,2.7,5.8925,3.5
"These are fairly large, tough animals.",-10.41656875,6.4117647058824,5.75,4.5333333333333,2.375,5.38,5.166666666666667
They always stand up for capital.,-8.5145828571429,6.2941176470588,3.7857142857143,4.3076923076923,1.5714285714285714,5.968333333333333,4.5
They are just defending the law.,-7.9042042857143,6.6666666666667,5.1333333333333,5.3076923076923,1.7142857142857142,6.198333333333333,4.333333333333333
