>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=2 | mean r=-0.065
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=3 | mean r=-0.126
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=4 | mean r=-0.217
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=5 | mean r=-0.145
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=6 | mean r=-0.129
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=7 | mean r=-0.146
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=8 | mean r=-0.147
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=9 | mean r=-0.129
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=10 | mean r=-0.185
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=11 | mean r=-0.102
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=12 | mean r=-0.081
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=13 | mean r=-0.132
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=14 | mean r=-0.156
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=15 | mean r=-0.173
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=16 | mean r=-0.130
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=17 | mean r=-0.145
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=18 | mean r=-0.063
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=19 | mean r=-0.134
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=20 | mean r=-0.059
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=21 | mean r=-0.147
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=22 | mean r=-0.105
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=23 | mean r=-0.105
WITHIN-SPLIT xglm_med | fROI=Lang_LH_MFG | layer=24 | mean r=-0.111


[WITHIN-SPLIT] Processing Lang_LH_PostTemp (5/6)
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=0 | mean r=-0.244
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=1 | mean r=-0.214
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=2 | mean r=-0.131
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=3 | mean r=-0.222
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=4 | mean r=-0.152
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=5 | mean r=-0.195
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=6 | mean r=-0.179
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=7 | mean r=-0.225
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=8 | mean r=-0.219
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=9 | mean r=-0.163
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=10 | mean r=-0.259
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=11 | mean r=-0.091
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=12 | mean r=-0.169
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=13 | mean r=-0.230
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=14 | mean r=-0.266
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=15 | mean r=-0.161
WITHIN-SPLIT xglm_med | fROI=Lang_LH_PostTemp | layer=16 | mean r=-0.214
