>>> SCRIPT LAUNCHED
>>> STARTING JOB in mode: native-within
>>> Loaded fMRI data
Processing - native mode (within)


Processing Lang_LH_AntTemp (1/6)
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=14 | mean r=0.276
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=15 | mean r=0.286
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=16 | mean r=0.274
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=17 | mean r=0.291
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=18 | mean r=0.287
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=19 | mean r=0.291
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=20 | mean r=0.297
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=21 | mean r=0.292
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=22 | mean r=0.315
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=23 | mean r=0.319
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=24 | mean r=0.314
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=25 | mean r=0.324
WITHIN     xglm_large | fROI=Lang_LH_AntTemp | layer=26 | mean r=0.324
