>>> SCRIPT LAUNCHED
[INFO] Himalaya backend set to <module 'himalaya.backend.torch_cuda' from '/home/devar_ag/.conda/envs/reasoning-models/lib/python3.10/site-packages/himalaya/backend/torch_cuda.py'> (cuda)
>>> STARTING JOB in mode: within-split
>>> Loaded fMRI data
Processing - WITHIN (SPLIT-CONTEXT) mode


[WITHIN-SPLIT] Processing Lang_LH_AntTemp (1/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=31 | mean r=0.165
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=32 | mean r=0.177
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=33 | mean r=0.181
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=34 | mean r=0.187
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=35 | mean r=0.184
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=36 | mean r=0.185
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=37 | mean r=0.185
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=38 | mean r=0.188
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=39 | mean r=0.189
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=40 | mean r=0.187
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=41 | mean r=0.171
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=42 | mean r=0.171
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=43 | mean r=0.163
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=44 | mean r=0.164
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=45 | mean r=0.162
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=46 | mean r=0.156
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=47 | mean r=0.153
WITHIN-SPLIT xglm_large | fROI=Lang_LH_MFG | layer=48 | mean r=0.162


[WITHIN-SPLIT] Processing Lang_LH_PostTemp (5/6)
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=0 | mean r=0.035
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=1 | mean r=0.009
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=2 | mean r=0.021
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=3 | mean r=0.010
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=4 | mean r=0.036
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=5 | mean r=0.047
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=6 | mean r=0.055
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=7 | mean r=0.062
WITHIN-SPLIT xglm_large | fROI=Lang_LH_PostTemp | layer=8 | mean r=0.082
