layer,r_mean,r_std,lang,r_transf,r_random
23,0.40516886629094717,0.12054100890645857,ro,0.2820560538694675,-0.006735048884355856
24,0.40802593898394524,0.12338689014555322,es,0.2359393422113923,-0.21696260851680335
24,0.40802593898394524,0.12338689014555322,mr,0.13496392964365186,0.2587671265644963
24,0.40802593898394524,0.12338689014555322,af,0.04450536970011046,-0.17879005758184235
24,0.40802593898394524,0.12338689014555322,vi,0.20120948033435782,-0.03651916084229052
24,0.40802593898394524,0.12338689014555322,ta,0.5493672720056283,-0.47150121225868896
24,0.40802593898394524,0.12338689014555322,lt,0.39400485822620407,-0.2717741740260896
24,0.40802593898394524,0.12338689014555322,tr,0.46139321717469717,0.071410775030819
24,0.40802593898394524,0.12338689014555322,nl,0.0711226693532316,-0.08795382499900396
24,0.40802593898394524,0.12338689014555322,no,0.09631197790580184,-0.04915586011062566
24,0.40802593898394524,0.12338689014555322,fa,0.5361870478302821,-0.3724908244683425
24,0.40802593898394524,0.12338689014555322,fr,0.19737111106164348,-0.12033051095846524
24,0.40802593898394524,0.12338689014555322,ro,0.3318877565202393,-0.1609791456460664
