dataset,perturb_type,model,language,r1,r2,r3,r_mean,r_sd
Tuckute2024,nounsverbsadj,nllb200_1B,Polish,-0.1405701810596171,-0.09219614054510614,0.23799364826548267,0.0017424422202531413,0.16821808507072797
Tuckute2024,verbs,nllb200_1B,Polish,-0.12499849191713741,-0.1637113007896738,-0.02338322981144325,-0.10403100750608481,0.05917611245546989
Tuckute2024,1LocalWordSwap,mt5_small,Arabic,-0.12522363367394174,0.1616846690109071,0.0772016287855942,0.03788755470751986,0.12038352836618318
Tuckute2024,2LocalWordSwap,mt5_small,Arabic,-0.08938949688049062,0.13130500860399283,0.0494762020254817,0.030463904582994635,0.09109561562187053
Tuckute2024,3LocalWordSwaps,mt5_small,Arabic,-0.11416846513289398,0.14187004662232128,0.05107752348174522,0.026259701657057506,0.10599016647956179
Tuckute2024,4LocalWordSwaps,mt5_small,Arabic,-0.10355626380707915,0.16885523869173713,0.0897377347450142,0.051678903209890735,0.1144213344523355
Tuckute2024,5LocalWordSwaps,mt5_small,Arabic,-0.1385407722593137,0.1404304240578232,0.07682905518028411,0.026239568992931204,0.11937533016548803
Tuckute2024,Reversed,mt5_small,Arabic,-0.12541309559249267,0.12552730136559237,0.04514577563311189,0.015086660468737197,0.10462770031471645
Tuckute2024,contentwords,mt5_small,Arabic,-0.14570705050178984,0.14408182626074456,-0.04303605448514748,-0.01488709290873092,0.11996852726776794
Tuckute2024,functionwords,mt5_small,Arabic,-0.07256190115619535,0.16278661445745068,-0.036455121078923895,0.017923197407443813,0.10348907218136698
Tuckute2024,intact,mt5_small,Arabic,-0.15397767146449443,0.2076556225601056,0.05387526665218252,0.035851072582597905,0.1481852748322501
Tuckute2024,nouns,mt5_small,Arabic,-0.2082143384213127,0.07226947073750281,0.031070164478120468,-0.03495823440189647,0.12365975873083822
