train,condition,language,model,roi,r1,r2,r3,r_mean,r_sd
main,experimental,Arabic,xglm_small,IFGorb,0.13214998359696967,0.08797685750343384,-0.1202531946727868,0.033291215475872236,0.11005977370848254
main,experimental,Arabic,xglm_small,MFG,0.2599319729605181,0.3814136650253368,0.15728654532751996,0.2662107277711249,0.09160716317511663
main,experimental,Arabic,xglm_small,PostTemp,0.08603168542263862,0.396398453625829,0.15907382596459488,0.21383465500435417,0.13249136826994815
main,experimental,Arabic,xglm_med,AntTemp,0.2661521684336353,0.21711180734310745,0.20956400224634283,0.23094265934102853,0.02508684234615769
main,experimental,Arabic,xglm_med,IFG,0.011436334165604715,0.15183532927984042,0.19038199746568776,0.11788455363704431,0.07689767650818968
main,experimental,Arabic,xglm_med,IFGorb,0.14255681889542685,0.0802066889849582,-0.04301076127169947,0.05991758220289519,0.07710411831967291
main,experimental,Arabic,xglm_med,MFG,0.18224872938216397,0.31953582050853674,0.11245884941626577,0.20474779976898883,0.08602276487609072
main,experimental,Arabic,xglm_med,PostTemp,0.14422088367205693,0.40017231774934886,0.1829065626650175,0.24243325469547441,0.11265094895183152
main,experimental,Arabic,xglm_large,AntTemp,-0.1997173157813651,0.1192296270359411,0.11619428870232817,0.011902199985634729,0.1496427254269192
main,experimental,Arabic,xglm_large,IFG,-0.24778769177291543,0.11033512715944849,0.06593425386503944,-0.0238394369161425,0.15938940790272552
main,experimental,Arabic,xglm_large,IFGorb,-0.16500667178261486,0.044041517314604574,-0.05011471117672989,-0.05702662188158006,0.08548339886941234
main,experimental,Arabic,xglm_large,MFG,-0.20456343602346652,0.25254483888367024,-0.03347319723920811,0.004836068540331871,0.1885695161482368
main,experimental,Arabic,xglm_large,PostTemp,-0.2608580671337288,0.2619152866971132,0.0029613081347800254,0.0013395092327214912,0.21342440901116208
main,experimental,Arabic,xglm_xl,AntTemp,0.246057393208354,0.2326179368116682,0.30981118389025897,0.26282883797009376,0.03367155444566581
main,experimental,Arabic,xglm_xl,IFG,-0.08256916326274327,0.165012812195843,0.24363259140176916,0.10869208011162296,0.13899859671576678
main,experimental,Arabic,xglm_xl,IFGorb,-0.030769528435651637,0.057098442204541314,-0.04016383844021949,-0.004611641557109939,0.04380383616015072
main,experimental,Arabic,xglm_xl,MFG,0.005589485073145841,0.3309446279127645,0.18364772990423933,0.1733939476300499,0.13302342470718465
main,experimental,Arabic,xglm_xl,PostTemp,-0.01782672799197929,0.3672257956375454,0.2916810055288875,0.2136933577248179,0.16658914809769798
main,random_0,Arabic,nllb200_distilled_600M,AntTemp,0.11418351990506163,0.02179082285709246,-0.11358890116039658,0.007461813867252504,0.09353808252427914
main,random_1,Arabic,nllb200_distilled_600M,AntTemp,0.025430475712136767,0.014562497689933195,0.06306612183414331,0.034353031745404425,0.020782354589182966
main,random_2,Arabic,nllb200_distilled_600M,AntTemp,-0.11267489157816961,-0.13451738353445616,0.15976290589929568,-0.029143123071110028,0.13387404391128482
main,random_3,Arabic,nllb200_distilled_600M,AntTemp,-0.11050272012557293,0.11697852371882186,-0.17850297376988983,-0.05734239005888029,0.126350951346221
main,random_0,Arabic,nllb200_distilled_600M,IFG,0.025869852073732456,0.044492539226668376,-0.015456314808389267,0.01830202549733719,0.025052215794841484
main,random_1,Arabic,nllb200_distilled_600M,IFG,-0.13811820984804737,-0.12020341164801207,0.03148585445895363,-0.07561192234570192,0.076081909133126
