train,model,roi,r,r_random,SE,z,p,sig
natstor,mt5_large,IFGorb,0.19522168662071385,0.015123321137175108,0.048151840668588464,13.978117659628248,2.1202178986426567e-44,***
natstor,mt5_large,MFG,0.12171558092826941,-0.004442689874797045,0.04822396406219706,9.244406448496933,2.365499233669906e-20,***
natstor,mt5_large,PostTemp,0.20454178962252578,-0.05252847226613331,0.035608854441156246,19.339056609305448,2.5204393356361015e-83,***
pereira,mt5_large,AntTemp,0.13379572629461778,0.06188676637744575,0.05612321678387625,5.061497632480752,4.159759062584854e-07,***
pereira,mt5_large,IFG,0.11079036594079958,0.024564304051365334,0.035809269158396155,5.830327887392385,5.531856962135726e-09,***
pereira,mt5_large,IFGorb,0.15247632843611802,0.045850732893660956,0.05452496608937802,7.506219074366885,6.085953697364734e-14,***
pereira,mt5_large,MFG,0.024303276853234697,0.04680462639925636,0.03855690167693249,-2.022885982909385,0.043084904036179726,*
pereira,mt5_large,PostTemp,0.08991058082295446,0.06333539756068698,0.04023407243390602,1.713573474734866,0.08660708854585655,
control,mt5_small,AntTemp,0.059446412473297815,0.027367436883543386,0.028354946189393396,2.5930768972294103,0.009512149969959556,**
control,mt5_small,IFG,0.06235836147156621,-0.004518043228721418,0.025062864363816936,4.873692697655872,1.0953132597005795e-06,***
control,mt5_small,IFGorb,0.09550114405488512,0.005413805797390579,0.034798971290491344,6.445869012532811,1.1493990130214314e-10,***
control,mt5_small,MFG,0.0474807739964587,-0.015275082774422763,0.036582943914210436,4.946751993170376,7.546201983303881e-07,***
control,mt5_small,PostTemp,0.06887936072222281,-0.02771115362039671,0.026683172564148188,7.437520671226916,1.0259253394802441e-13,***
main,mt5_small,AntTemp,0.06082165942734293,0.010429134915146255,0.029853576090603698,3.9966787021268444,6.42373934765941e-05,***
main,mt5_small,IFG,0.06289603904607056,-0.019629339261893496,0.03120337849193645,7.4464714592630665,9.586976471799478e-14,***
main,mt5_small,IFGorb,0.12854353647596226,-0.008107973613601497,0.03703484329896329,10.752521165101733,5.766356554166732e-27,***
main,mt5_small,MFG,0.045592673357130284,-0.015571200158148188,0.04195772114048257,6.224472236335451,4.831796954294179e-10,***
main,mt5_small,PostTemp,0.09149140638531852,-0.023344484494365995,0.027845393392253708,9.273749109459844,1.7971534472316383e-20,***
natstor,mt5_small,AntTemp,0.06392490237614513,-0.031035273662142857,0.043990397062016934,8.580905167152128,9.412946238226106e-18,***
natstor,mt5_small,IFG,0.05721530813279937,-0.021425729009495183,0.029077856855863286,6.239339154256622,4.394233307062926e-10,***
natstor,mt5_small,IFGorb,0.04915692020721644,0.0031391375373211686,0.030515517960142905,3.883620195981674,0.00010291262150909037,***
natstor,mt5_small,MFG,0.08235145706650861,-0.011155292162408289,0.03324915076077432,7.596935040935463,3.03226648346709e-14,***
natstor,mt5_small,PostTemp,0.10492932523481052,-0.04940116458916312,0.0387130821779063,12.781932115945652,2.06865849175968e-37,***
pereira,mt5_small,AntTemp,-0.021990649235776295,-0.007386754980054778,0.029472560620204393,-1.776414577196151,0.07566461018389055,
pereira,mt5_small,IFG,0.0061733549288494555,0.003907604784900796,0.030313963996873593,-0.2811059407026064,0.7786291447966339,
pereira,mt5_small,IFGorb,0.01370634300355381,-0.015295956972713945,0.020169678856974228,1.6897680188823976,0.09107234448456974,
pereira,mt5_small,MFG,-0.03167821263269833,0.015816491099973438,0.03751654523922859,-4.634698661419189,3.574578053745856e-06,***
pereira,mt5_small,PostTemp,-0.05989784435501707,0.0016061363767823278,0.020011734066700374,-5.132656035646583,2.8568171282833937e-07,***
control,multiminilm,AntTemp,0.1358222580902813,0.040941422168199244,0.04494669151739775,6.8481689031840505,7.480122007989733e-12,***
control,multiminilm,IFG,0.05409043404610696,0.0256916961631409,0.03619557680241002,1.9288192121477792,0.05375330989672219,
