dataset,perturb_type,model,r,SE
Tuckute2024,1LocalWordSwap,mt5_large,0.112478868424622,0.04074729457201552
Tuckute2024,1LocalWordSwap,mt5_small,0.059076806172091385,0.02390493124523294
Tuckute2024,1LocalWordSwap,multiminilm,0.07476889603968094,0.0371303602601227
Tuckute2024,1LocalWordSwap,nllb200_1B,0.10162058237754538,0.0499548436063679
Tuckute2024,1LocalWordSwap,nllb200_distilled_1B,0.06840398137956921,0.0339109269085752
Tuckute2024,1LocalWordSwap,nllb200_distilled_600M,0.02575674308771502,0.0478516159759445
Tuckute2024,1LocalWordSwap,xglm_large,0.09282894300693756,0.053703889120993074
Tuckute2024,1LocalWordSwap,xglm_med,0.12018449228027271,0.05102837687757547
Tuckute2024,1LocalWordSwap,xglm_small,0.08791756115575547,0.1058834495951783
Tuckute2024,1LocalWordSwap,xglm_xl,0.10740436236182288,0.042629783372972525
Tuckute2024,1LocalWordSwap,xlm_align,0.120394140963194,0.045791145696899814
Tuckute2024,1LocalWordSwap,xlmr_base,0.09653674110635871,0.04431082495704757
Tuckute2024,1LocalWordSwap,xlmr_large,0.11895746908765485,0.03950211345400343
Tuckute2024,2LocalWordSwap,bert_base,0.008746496843077434,0.048018296477333126
Tuckute2024,2LocalWordSwap,distilmbert,0.05224847293376352,0.033529731359913544
Tuckute2024,2LocalWordSwap,infoxlm_base,0.08510863917333772,0.03753923270318295
Tuckute2024,2LocalWordSwap,infoxlm_large,0.08022807806017679,0.03133383535822801
Tuckute2024,2LocalWordSwap,mdeberta,0.11840411771262443,0.028486251258136766
Tuckute2024,2LocalWordSwap,mgpt,-0.11026076797506258,0.10792182530184403
Tuckute2024,2LocalWordSwap,mt5_base,0.06344826182140484,0.034046733220687346
Tuckute2024,2LocalWordSwap,mt5_large,0.07756038776679618,0.042724330846612195
Tuckute2024,2LocalWordSwap,mt5_small,0.05502051247829249,0.023828017721423397
Tuckute2024,2LocalWordSwap,multiminilm,0.060342967071269675,0.03350179007165196
Tuckute2024,2LocalWordSwap,nllb200_1B,0.08517065416686312,0.055971667297743936
Tuckute2024,2LocalWordSwap,nllb200_distilled_1B,0.03664239808869177,0.028540487769330162
Tuckute2024,2LocalWordSwap,nllb200_distilled_600M,0.03387279963384904,0.051527046495321756
Tuckute2024,2LocalWordSwap,xglm_large,0.06126711993577879,0.05041417675347689
Tuckute2024,2LocalWordSwap,xglm_med,0.09237366574486974,0.04879282954906721
Tuckute2024,2LocalWordSwap,xglm_small,0.08982737616831718,0.10595900672428595
Tuckute2024,2LocalWordSwap,xglm_xl,0.10318439617989143,0.04899916546770914
Tuckute2024,2LocalWordSwap,xlm_align,0.08772853306349528,0.041143538874154416
Tuckute2024,2LocalWordSwap,xlmr_base,0.09804285093267308,0.047923542793809594
Tuckute2024,2LocalWordSwap,xlmr_large,0.08228129852968324,0.03262980085539057
Tuckute2024,3LocalWordSwaps,bert_base,0.00973514355940213,0.038201607290918045
Tuckute2024,3LocalWordSwaps,distilmbert,0.03811181122031908,0.03176399673661343
Tuckute2024,3LocalWordSwaps,infoxlm_base,0.111684000515989,0.04892817942288496
Tuckute2024,3LocalWordSwaps,infoxlm_large,0.09943333279414919,0.04290857991562302
Tuckute2024,3LocalWordSwaps,mdeberta,0.10818894229127313,0.024773110617303085
Tuckute2024,3LocalWordSwaps,mgpt,-0.10475901969270392,0.11371654362559502
Tuckute2024,3LocalWordSwaps,mt5_base,0.052268453670310175,0.03462034805539336
Tuckute2024,3LocalWordSwaps,mt5_large,0.0706501727930008,0.03915371240989912
Tuckute2024,3LocalWordSwaps,mt5_small,0.05964649006793411,0.02250466434608439
Tuckute2024,3LocalWordSwaps,multiminilm,0.06338448927300401,0.03182894239600492
Tuckute2024,3LocalWordSwaps,nllb200_1B,0.07433478085538493,0.053402803096078116
Tuckute2024,3LocalWordSwaps,nllb200_distilled_1B,0.06785436862627064,0.033051017036601994
Tuckute2024,3LocalWordSwaps,nllb200_distilled_600M,0.027452699049430238,0.05445655976325134
Tuckute2024,3LocalWordSwaps,xglm_large,0.076900131747933,0.052345402553371397
Tuckute2024,3LocalWordSwaps,xglm_med,0.06615492153407655,0.0475998765317655
Tuckute2024,3LocalWordSwaps,xglm_small,0.08546763805104075,0.10627445451073986
Tuckute2024,3LocalWordSwaps,xglm_xl,0.11464407424379777,0.049927868718230205
Tuckute2024,3LocalWordSwaps,xlm_align,0.09670675670923246,0.04847939243987554
Tuckute2024,3LocalWordSwaps,xlmr_base,0.1573615589225063,0.04701909175487252
Tuckute2024,3LocalWordSwaps,xlmr_large,0.09354799767481836,0.035548680275159915
Tuckute2024,4LocalWordSwaps,bert_base,0.030056847060810427,0.04995145761636491
