model,language,mrr,r,r_last
mt5_large,lt,0.26856533121686826,0.4844863072514113,0.31062014515309916
mt5_large,no,0.2734575555436836,0.1375271727719179,0.20190032834683325
mt5_large,ro,0.3220108029254635,0.3307123193358698,0.3002731850942362
mt5_large,es,0.3522441299132458,0.38733038923181434,0.27903482943822494
mt5_large,ta,0.19521550132172577,0.46665957779054457,0.27759634748697165
mt5_large,tr,0.27051499378223587,0.31442108373876765,0.4189496994178576
mt5_large,vi,0.07375956510157987,0.15798584317977704,0.17583815072750636
mt5_large,mr,0.1336339049230408,0.12381823389803723,0.05645552372640918
xlm_align,af,0.6979993824153594,0.10553680710725649,0.16875420175234357
xlm_align,nl,0.8647877028412292,0.26732102546451214,0.17260113199922641
xlm_align,fa,0.8413519929841997,0.5511159514326541,0.5425779203068214
xlm_align,fr,0.8439570780005629,0.5203106905839857,0.15933942952567645
xlm_align,lt,0.7019354047406013,0.4045280633267397,0.3072250380747056
xlm_align,no,0.8560420430509257,0.34212147458473335,0.15374295547889255
xlm_align,ro,0.8516902004230044,0.3560221877598176,0.37303512213295564
xlm_align,es,0.8798145487261901,0.32151791010951675,0.3020731369694215
xlm_align,ta,0.692354148371424,0.5081152713878175,0.37587136994897447
xlm_align,tr,0.8309514259155083,0.42801521524667213,0.3589941188715467
xlm_align,vi,0.8179353784221487,0.23162617693732274,0.12339003113077751
xlm_align,mr,0.7007746207002398,-0.05938378682300733,-0.05460407860475195
xglm_xl,es,0.4573708169991993,0.42865655306496525,0.41428318040457124
xglm_xl,vi,0.4880342436710499,0.03409501829890668,0.042082983838310946
xglm_xl,ta,0.2586939165796711,0.4192440962767215,0.38163481553352474
xglm_xl,tr,0.2286231016020312,0.3252770313103916,0.353305824323897
xglm_xl,fr,0.611572345490969,0.3179540781603727,0.28654660090923595
xlmr_large,af,0.8215512791631633,0.31102319421075253,0.12176299629408274
xlmr_large,nl,0.8512485561746138,0.3308914276628024,0.12603094543478985
xlmr_large,fa,0.8238999682533781,0.5994397874141523,0.3885063173917478
xlmr_large,fr,0.8524498714803108,0.5249952871323561,0.18444017086398096
xlmr_large,lt,0.7939315398275206,0.5368339288927083,0.3929461141927914
xlmr_large,no,0.851605199180923,0.22542330108862918,0.15369535939560536
xlmr_large,ro,0.8608603863759494,0.2817320141007658,0.24179390892191066
