model,language,mrr,r,r_last
xlmr_base,no,0.8717576895928514,0.33996586888281877,0.16635128535062857
xlmr_base,ro,0.8467352991664644,0.0007000232333693959,0.013067667876657274
xlmr_base,es,0.8609638077827291,0.3945567347432349,0.41480538230342373
xlmr_base,ta,0.6280475550503061,0.694367719621267,0.6333044303589299
xlmr_base,tr,0.79099919842652,0.03945994459838336,0.24625461204350294
xlmr_base,vi,0.7986587125004166,0.22956677602758024,0.1957698059614032
xlmr_base,mr,0.6713694536435131,0.3801182058100337,0.2825989612120199
bert_base,af,0.6636163134388926,0.4753002941030685,0.48806952238540324
bert_base,nl,0.7154093875025291,0.32016562794804454,0.41206202195206065
bert_base,fa,0.6114579501097727,0.6592424495158907,0.5628376483261619
bert_base,fr,0.7098772005264434,0.5342122614495264,0.5202535458532991
bert_base,lt,0.5036563420118724,0.4983607601181126,0.49160451236017955
bert_base,no,0.7157959603402001,0.31417261177175126,0.44713745101368996
bert_base,ro,0.6570779904624717,0.04752418917211652,0.05961491368763045
bert_base,es,0.7348460190087828,0.3788252219107043,0.33983242629584937
bert_base,ta,0.49635037461176273,0.6464562015179628,0.5946590034725078
bert_base,tr,0.5909670945600589,0.253805330685438,0.31180601202243163
bert_base,vi,0.5882559733354277,0.34254885118525824,0.21493038852142582
bert_base,mr,0.4530292829855662,0.19545471322088104,0.17118779984390356
infoxlm_base,af,0.7194384833602666,0.12404383403769093,0.2704333736913087
infoxlm_base,nl,0.8957255512513242,0.29141176144093806,0.022889402419503616
infoxlm_base,fa,0.8776165901828729,0.6637496782598667,0.7178419463916443
infoxlm_base,fr,0.8784014481932008,0.42904242371966,0.5237060979678423
infoxlm_base,lt,0.7508909071009607,0.5216409783613154,0.4829850267675701
infoxlm_base,no,0.881726456595223,0.31496664175151334,0.1848586099505931
infoxlm_base,ro,0.8904869887755897,0.012276857085225351,0.03655674934650532
infoxlm_base,es,0.9062804468334701,0.44748244292401107,0.31524471418964123
infoxlm_base,ta,0.7767454366057447,0.6973430362320924,0.6112821758294775
infoxlm_base,tr,0.8775697287671129,0.040312057656586936,0.19436500380462204
infoxlm_base,vi,0.8789135200348671,0.2473502151468532,0.1978499049963165
infoxlm_base,mr,0.7738872673218139,0.43651653542847163,0.3578901420908268
mdeberta,af,0.06830441102511373,0.6585131969396574,0.507150269428821
mdeberta,nl,0.07918974234645398,0.37169357972566486,0.03299772409904176
mdeberta,fa,0.061679773869172776,0.5980944005530463,0.5161843488839505
mdeberta,fr,0.06100628515389521,0.7310210844249785,0.5167819982638063
mdeberta,lt,0.06164539159566961,0.3930213421695933,0.32176278706773137
mdeberta,no,0.08094688516050605,-0.07867864817652685,-0.11079606076834589
mdeberta,ro,0.07277218915063091,0.016208730016562697,-0.021009036378341388
mdeberta,es,0.08008024979071214,0.30426957989587794,0.09679068194728076
mdeberta,ta,0.04489919361732406,0.6874247410061908,0.5643537263182704
mdeberta,tr,0.06117789825225544,0.1196137067521924,0.15111840719887382
mdeberta,vi,0.029845285054353608,0.23086828497516607,0.14303408984774693
mdeberta,mr,0.039847321335339365,0.1051781407838484,0.09149350310775739
mt5_base,af,0.35076017186905184,0.19702833928583316,0.19702833928583316
mt5_base,nl,0.4306168861183886,0.12803528363364064,0.12803528363364064
mt5_base,fa,0.38118772689797814,0.5226863125125869,0.5226863125125869
mt5_base,fr,0.4667263780912379,0.4640142166919672,0.4640142166919672
mt5_base,lt,0.32326133479932007,0.3559839652653857,0.3559839652653857
mt5_base,no,0.40728623055504626,0.11546879107410597,0.11546879107410597
mt5_base,ro,0.42695941154800376,0.20782554420784297,0.20782554420784297
mt5_base,es,0.5052114431428186,0.3567673653306491,0.3567673653306491
mt5_base,ta,0.1981568797512268,0.6404761169653511,0.6404761169653511
mt5_base,tr,0.2912300600293209,-0.023289864335928237,-0.023289864335928237
mt5_base,vi,0.3359120288653056,0.1843404558753261,0.1843404558753261
mt5_base,mr,0.2414947695287582,0.16161056655111775,0.16161056655111775
mgpt,af,0.3798449142957973,0.5979858461200217,0.555091831119865
mgpt,fa,0.4300045940087093,0.6763155527888729,0.6935028176176775
mgpt,fr,0.5040879915155251,0.6115587909273666,0.6122546888897835
mgpt,lt,0.320816533178992,0.5230816211726882,0.5079156926123511
mgpt,mr,0.05277298887103598,0.3678229914738235,0.3701980153502928
mgpt,ro,0.40470200490610364,-0.03808152154701315,0.05380374900536604
mgpt,es,0.4922956548776363,0.42186798979411716,0.37497748734485786
mgpt,ta,0.04438727488274278,0.6498239961056707,0.6469323090748677
mgpt,tr,0.4639707974546948,0.6192393465176427,0.6337047864311514
mgpt,vi,0.4872853468205957,0.19102052221508986,0.15856168986438182
infoxlm_large,af,0.929091360909421,0.5020162713323798,0.4128790823775645
infoxlm_large,nl,0.9482459908793398,0.22541015136112488,0.0825552750007901
infoxlm_large,fa,0.9422666609769048,0.7029422014758647,0.5855576967271652
infoxlm_large,fr,0.9332375503560656,0.6368066059656592,0.5777906916050375
infoxlm_large,lt,0.9189576459609143,0.42759808277384803,0.3859342183759841
infoxlm_large,no,0.9612049854001934,0.3000086425508656,0.23182944493441981
infoxlm_large,ro,0.9602366561480569,-0.003040658774696688,0.026247710124057588
infoxlm_large,es,0.9502947150465406,0.48073695058343696,0.330041807690179
infoxlm_large,ta,0.7707978649745719,0.7237222932884412,0.703068042919088
infoxlm_large,tr,0.975867215928945,0.3678858610683052,0.2911534560690495
infoxlm_large,vi,0.9724670904276574,0.35941847922806114,0.22347671357631035
infoxlm_large,mr,0.8862676191565592,0.35055980878686893,0.29445831051844246
xglm_small,es,0.363014923379933,0.21103027219365605,0.3418222785483844
xglm_small,vi,0.3535192401199194,0.18969397093464124,-0.003632389705163121
xglm_small,ta,0.16250793033415256,0.6744465080435474,0.5618480650614047
xglm_small,tr,0.2888524943090653,0.17116601552638874,0.18799745800479933
xglm_small,fr,0.44068095409982266,0.7025956401292875,0.46613316062460586
multiminilm,af,0.761517250617813,0.2003297429859489,-0.022440169790342832
multiminilm,nl,0.8454216188188071,0.2600137386001793,0.23683414287610122
multiminilm,fa,0.8217927204947325,0.620311027322818,0.6367467865943969
multiminilm,fr,0.8245416401892569,0.28366814323192974,0.3478291208165475
multiminilm,lt,0.750571806581367,0.6004372750978731,0.49838945660247086
